=== GENERIC MODEL-DIFF AUDIT — 17778 docs constructed against their real model ===

DROPPED PATH (stored but NOT in schema)                         DOCS  SAMPLE VALUE
specialization . collection.talent14.description                 303  "<p>Once per session, may perform 
specialization . collection.talent14.activation                  303  "Active (Action)"
specialization . collection.talent14.activationLabel             303  "SWFFG.TalentActivationsActiveActi
specialization . collection.talent14.isForceTalent               303  false
specialization . collection.talent14.isRanked                    303  true
specialization . collection.talent14.size                        303  "single"
specialization . collection.talent14.canLinkTop                  303  true
specialization . collection.talent14.canLinkRight                303  true
specialization . collection.talent14.itemId                      303  "NqP1p0uIQLFuJm4Q"
specialization . collection.talent14.links-top-1                 303  true
specialization . collection.talent14.links-right                 303  true
specialization . collection.talent14.pack                        303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent14.cost                        303  20
specialization . collection.talent14.visible                     303  true
specialization . collection.talent14.canSplit                    303  false
specialization . collection.talent14.canCombine                  303  true
specialization . collection.talent14.islearned                   303  false
specialization . collection.talent15.name                        303  "Know Their Weakness (Improved)"
specialization . collection.talent15.description                 303  "<p>The character may extend the e
specialization . collection.talent15.activation                  303  "Passive"
specialization . collection.talent15.activationLabel             303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent15.isForceTalent               303  false
specialization . collection.talent15.<id>                        303  false
specialization . collection.talent15.isRanked                    303  false
specialization . collection.talent15.size                        303  "single"
specialization . collection.talent15.canLinkTop                  303  true
specialization . collection.talent15.canLinkRight                303  false
specialization . collection.talent15.itemId                      303  "vQmsvi7zf2O5CKi6"
specialization . collection.talent15.links-top-1                 303  true
specialization . collection.talent15.pack                        303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent15.cost                        303  20
specialization . collection.talent15.visible                     303  true
specialization . collection.talent15.canSplit                    303  false
specialization . collection.talent15.canCombine                  303  false
specialization . collection.talent15.islearned                   303  false
specialization . collection.talent15.links-right                 303  false
specialization . collection.talent16.name                        303  "Pressure Point"
specialization . collection.talent16.description                 303  "<p>When making a Brawl check agai
specialization . collection.talent16.activation                  303  "Active (Incidental)"
specialization . collection.talent16.activationLabel             303  "SWFFG.TalentActivationsActiveInci
specialization . collection.talent16.isForceTalent               303  false
specialization . collection.talent16.<id>                        303  false
specialization . collection.talent16.isRanked                    303  false
specialization . collection.talent16.size                        303  "single"
specialization . collection.talent16.canLinkTop                  303  true
specialization . collection.talent16.canLinkRight                303  true
specialization . collection.talent16.itemId                      303  "tlC8v3uYHHYiEOX8"
specialization . collection.talent16.links-right                 303  true
specialization . collection.talent16.pack                        303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent16.cost                        303  25
specialization . collection.talent16.visible                     303  true
specialization . collection.talent16.canSplit                    303  false
specialization . collection.talent16.canCombine                  303  true
specialization . collection.talent16.islearned                   303  false
specialization . collection.talent16.links-top-1                 303  false
specialization . collection.talent17.name                        303  "Exhaustive Questioning"
specialization . collection.talent17.description                 303  "<p>Whenever a character makes a s
specialization . collection.talent17.activation                  303  "Active (Incidental)"
specialization . collection.talent17.activationLabel             303  "SWFFG.TalentActivationsActiveInci
specialization . collection.talent17.isForceTalent               303  false
specialization . collection.talent17.isRanked                    303  false
specialization . collection.talent17.size                        303  "single"
specialization . collection.talent17.canLinkTop                  303  true
specialization . collection.talent17.canLinkRight                303  true
specialization . collection.talent17.itemId                      303  "i6qZO0hiq4wgyjqF"
specialization . collection.talent17.links-top-1                 303  true
specialization . collection.talent17.links-right                 303  true
specialization . collection.talent17.pack                        303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent17.cost                        303  25
specialization . collection.talent17.visible                     303  true
specialization . collection.talent17.canSplit                    303  false
specialization . collection.talent17.canCombine                  303  true
specialization . collection.talent17.islearned                   303  false
specialization . collection.talent18.name                        303  "Made You Talk"
specialization . collection.talent18.description                 303  "<p>Once per session, may make an 
specialization . collection.talent18.activation                  303  "Active (Action)"
specialization . collection.talent18.activationLabel             303  "SWFFG.TalentActivationsActiveActi
specialization . collection.talent18.isForceTalent               303  false
specialization . collection.talent18.<id>                        303  false
specialization . collection.talent18.isRanked                    303  false
specialization . collection.talent18.size                        303  "single"
specialization . collection.talent18.canLinkTop                  303  true
specialization . collection.talent18.canLinkRight                303  true
specialization . collection.talent18.itemId                      303  "d3TQkPETtRzMpIiz"
specialization . collection.talent18.links-top-1                 303  true
specialization . collection.talent18.links-right                 303  true
specialization . collection.talent18.pack                        303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent18.cost                        303  25
specialization . collection.talent18.visible                     303  true
specialization . collection.talent18.canSplit                    303  false
specialization . collection.talent18.canCombine                  303  true
specialization . collection.talent18.islearned                   303  false
specialization . collection.talent19.name                        303  "Dedication"
